Beauchief & Greenhill,candidate,Terry Murphy,Trade Unionist and Socialist Coalition,124
Beauchief & Greenhill,candidate,Peter Morris,The Conservative Party,255
Beauchief & Greenhill,candidate,John Scotting,The Conservative Party,268
Beauchief & Greenhill,candidate,Rita Wilcock,Green Party,284
Beauchief & Greenhill,candidate,Paul Horada-Bradnum,Green Party,318
Beauchief & Greenhill,candidate,Andy Taylor,The Conservative Party,344
Beauchief & Greenhill,candidate,Catherine Hartley,Green Party,393
Beauchief & Greenhill,candidate,Jean Simpson,UK Independence Party (UKIP),673
Beauchief & Greenhill,candidate,Andrew Telford,UK Independence Party (UKIP),688
Beauchief & Greenhill,candidate,John Kirby,Labour Party,1478
Beauchief & Greenhill,candidate,Roy Munn,Labour Party,1771
Beauchief & Greenhill,candidate,Julie Gledhill,Labour Party,1818
Beauchief & Greenhill,candidate,Andy Nash,Liberal Democrats,2300
Beauchief & Greenhill,candidate,Richard Shaw,Liberal Democrats,2322
Beauchief & Greenhill,candidate,Bob Pullin,Liberal Democrats,2369
Beauchief & Greenhill,elected,"Elected: Andy Nash, Bob Pullin and Richard Shaw, Liberal Democrats."
Beauchief & Greenhill,turnout,"Electorate: 14,399. Turnout: 39%"
Beighton,candidate,Margaret Gray,Trade Unionist and Socialist Coalition,141
Beighton,candidate,Kiri Smith,Green Party,151
Beighton,candidate,Allan Wisbey,Liberal Democrats,209
Beighton,candidate,Richard Madden,Green Party,239
Beighton,candidate,Clare Relton,Green Party,239
Beighton,candidate,Richard Sangar,Liberal Democrats,249
Beighton,candidate,Sophie Thornton,Liberal Democrats,253
Beighton,candidate,Shirley Clayton,The Conservative Party,777
Beighton,candidate,Brett Colk,UK Independence Party (UKIP),1154
Beighton,candidate,Chris Rosling-Josephs,Labour Party,1704
Beighton,candidate,Ian Saunders,Labour Party,1947
Beighton,candidate,Helen Mirfin-Boukouris,Labour Party,1962
Beighton,elected,"Elected: Helen Mirfin-Boukouris, Chris Rosling-Josephs and Ian Saunders, Labour Party."
Beighton,turnout,"Electorate: 13,884. Turnout: 28%"
Birley,candidate,John Voyse,Trade Unionist and Socialist Coalition,83
Birley,candidate,Hilda Wisbey,Liberal Democrats,184
Birley,candidate,Alan Yearsley,Green Party,231
Birley,candidate,Ruth Nicol,Green Party,245
Birley,candidate,Andrew Dixon,Liberal Democrats,281
Birley,candidate,Anthony Naylor,Green Party,310
Birley,candidate,Jane Chapman,Liberal Democrats,325
Birley,candidate,Calum Heaton,The Conservative Party,387
Birley,candidate,Dennis Hobson,UK Independence Party (UKIP),931
Birley,candidate,Bradley Colk,UK Independence Party (UKIP),960
Birley,candidate,Karen McGowan,Labour Party,1719
Birley,candidate,Denise Fox,Labour Party,1861
Birley,candidate,Bryan Lodge,Labour Party,1912
Birley,elected,"Elected: Denise Fox, Bryan Lodge and Karen McGowan, Labour Party."
Birley,turnout,"Electorate: 12,959. Turnout: 29%"
Broomhill & Sharrow Vale,candidate,Bridget Gilbert,Trade Unionist and Socialist Coalition,120
Broomhill & Sharrow Vale,candidate,Pat Sullivan,UK Independence Party (UKIP),213
Broomhill & Sharrow Vale,candidate,Michael Lawrence,The Conservative Party,276
Broomhill & Sharrow Vale,candidate,Toby Abbs,The Conservative Party,344
Broomhill & Sharrow Vale,candidate,Chris Hallam,The Conservative Party,356
Broomhill & Sharrow Vale,candidate,Kurtis Crossland,Liberal Democrats,459
Broomhill & Sharrow Vale,candidate,Iain Prest,Liberal Democrats,522
Broomhill & Sharrow Vale,candidate,Barbara Masters,Liberal Democrats,587
Broomhill & Sharrow Vale,candidate,Brian Webster,Green Party,1657
Broomhill & Sharrow Vale,candidate,Aodan Marken,Green Party,1734
Broomhill & Sharrow Vale,candidate,Saleh Alnoud,Labour Party,1771
Broomhill & Sharrow Vale,candidate,Kieran Harpham,Labour Party,1860
Broomhill & Sharrow Vale,candidate,Magid Mah,Green Party,1882
Broomhill & Sharrow Vale,candidate,Michelle Cook,Labour Party,1956
Broomhill & Sharrow Vale,elected,"Elected: Michelle Cook and Kieran Harpham, Labour Party, and Magid Mah, Green Party."
Broomhill & Sharrow Vale,turnout,"Electorate: 15,000. Turnout: 32%"
Burngreave,candidate,Alexander Taylor,The Conservative Party,181
Burngreave,candidate,Timothy Marsh,The Conservative Party,198
Burngreave,candidate,Russell Cutts,The Conservative Party,284
Burngreave,candidate,Shelley Cockayne,Liberal Democrats,324
Burngreave,candidate,Mubarak Ismail,Liberal Democrats,377
Burngreave,candidate,Chris Sissons,Green Party,399
Burngreave,candidate,Stephanie Windle,Green Party,417
Burngreave,candidate,Iltaf Hussain,Liberal Democrats,441
Burngreave,candidate,Mobeen Arshad,Green Party,506
Burngreave,candidate,Ashish Bhandari,UK Independence Party (UKIP),539
Burngreave,candidate,Mark Jones,Labour Party,2784
Burngreave,candidate,Talib Hussain,Labour Party,3228
Burngreave,candidate,Jackie Drayton,Labour Party,3483
Burngreave,elected,"Elected: Jackie Drayton, Talib Hussain and Mark Jones, Labour Party."
Burngreave,turnout,"Electorate: 14,085. Turnout: 37%"
City,candidate,Sam Morecroft,Trade Unionist and Socialist Coalition,47
City,candidate,Muhammad Zahur,Liberal Democrats,78
City,candidate,Raymond Lawrence,The Conservative Party,107
City,candidate,David Chapman,Liberal Democrats,116
City,candidate,Anders Hanson,Liberal Democrats,147
City,candidate,Amar Ilyas,Labour Party,547
City,candidate,Gareth Slater,Labour Party,581
City,candidate,Declan Walsh,Green Party,592
City,candidate,Moya O'Rourke,Labour Party,617
City,candidate,Robert Murphy,Green Party,626
City,candidate,Douglas Johnson,Green Party,708
City,elected,"Elected: Douglas Johnson and Robert Murphey, Green Party, and Moya O'Rourke, Labour Party."
City,turnout,"Electorate: 7,283. Turnout: 20%"
Crookes & Crosspool,candidate,Nicholas Hall,Trade Unionist and Socialist Coalition,113
Crookes & Crosspool,candidate,Miles Waters,The Conservative Party,288
Crookes & Crosspool,candidate,Edward Reeves,The Conservative Party,409
Crookes & Crosspool,candidate,Joe McNeillie,The Conservative Party,480
Crookes & Crosspool,candidate,Elizabeth Brownhill,UK Independence Party (UKIP),613
Crookes & Crosspool,candidate,Logan Robin,Green Party,809
Crookes & Crosspool,candidate,Rose Garratt,Green Party,989
Crookes & Crosspool,candidate,Peter Garbutt,Green Party,1375
Crookes & Crosspool,candidate,Gail Smith,Liberal Democrats,1976
Crookes & Crosspool,candidate,Mohammed Mahroof,Liberal Democrats,1986
Crookes & Crosspool,candidate,Rosemary Telfer,Labour and Co-operative Party,2108
Crookes & Crosspool,candidate,Craig Gamble-Pugh,Labour and Co-operative Party,2180
Crookes & Crosspool,candidate,Adam Hanranhan,Liberal Democrats,2573
Crookes & Crosspool,candidate,Anne Murphy,Labour and Co-operative Party,2713
Crookes & Crosspool,elected,"Elected: Craig Gamble-Pugh and Anne Murphey, Labour and Co-operative Party, and Adam Hanranhan, Liberal Democrats."
Crookes & Crosspool,turnout,"Electorate: 13,986. Turnout: 47%"
Darnall,candidate,Philip King,Trade Unionist and Socialist Coalition,82
Darnall,candidate,Eamonn Ward,Green Party,116
Darnall,candidate,Kathy Aston,Green Party,186
Darnall,candidate,Janet Shaddock,Liberal Democrats,186
Darnall,candidate,Richard Blyth,The Conservative Party,191
Darnall,candidate,Pauline Memmott,Liberal Democrats,216
Darnall,candidate,Joydu Al-Mahfuz,Green Party,247
Darnall,candidate,Sohail Mohammed,Liberal Democrats,285
Darnall,candidate,Matthew Priest,UK Independence Party (UKIP),606
Darnall,candidate,Nigel James,UK Independence Party (UKIP),655
Darnall,candidate,Peter O'Brien,UK Independence Party (UKIP),690
Darnall,candidate,Zahira Naz,Labour Party,2423
Darnall,candidate,Mary Lea,Labour Party,2672
Darnall,candidate,Mazher Iqbal,Labour Party,2806
Darnall,elected,"Elected: Mazher Iqbal, Mary Lea and Zahira Naz, Labour Party."
Darnall,turnout,"Electorate: 13,106. Turnout: 33%"
Dore & Totley,candidate,Julian Briggs,Green Party,288
Dore & Totley,candidate,Gill Black,Green Party,432
Dore & Totley,candidate,David Applebaum,Green Party,578
Dore & Totley,candidate,Tebb Wallis,UK Independence Party (UKIP),619
Dore & Totley,candidate,Mohamadi Al,Labour Party,752
Dore & Totley,candidate,Marcus Wells,The Conservative Party,846
Dore & Totley,candidate,Maggie Ewan,Labour Party,966
Dore & Totley,candidate,David Crosby,Labour Party,1072
Dore & Totley,candidate,Christopher Pitchfork,The Conservative Party,1247
Dore & Totley,candidate,Kath Lawrence,The Conservative Party,1320
Dore & Totley,candidate,Martin Smith,Liberal Democrats,3391
Dore & Totley,candidate,Joe Otten,Liberal Democrats,3547
Dore & Totley,candidate,Colin Ross,Liberal Democrats,3875
Dore & Totley,elected,"Elected: Joe Otten, Colin Ross and Martin Smith, Liberal Democrats."
Dore & Totley,turnout,"Electorate: 14,697. Turnout: 47%"
East Ecclesfield,candidate,Steve Hible,Trade Unionist and Socialist Coalition,86
East Ecclesfield,candidate,David Dike,Green Party,164
East Ecclesfield,candidate,Kaye Horsfield,Green Party,269
East Ecclesfield,candidate,Louise Dunk,Green Party,286
East Ecclesfield,candidate,Adam Allcroft,The Conservative Party,506
East Ecclesfield,candidate,Alan Hooper,Liberal Democrats,635
East Ecclesfield,candidate,John Housely,Liberal Democrats,801
East Ecclesfield,candidate,Kate Guest,Liberal Democrats,811
East Ecclesfield,candidate,John Brownrigg,UK Independence Party (UKIP),1383
East Ecclesfield,candidate,Anthea Brownrigg,UK Independence Party (UKIP),1388
East Ecclesfield,candidate,Sioned Richards,Labour Party,1493
East Ecclesfield,candidate,Pauline Andrews,UK Independence Party (UKIP),1531
East Ecclesfield,candidate,Steve Wilson,Labour Party,1558
East Ecclesfield,candidate,Andy Bainbridge,Labour Party,1919
East Ecclesfield,elected,"Elected: Andy Bainbridge and Steve Wilson, Labour Party, and Pauline Andrews, UKIP."
East Ecclesfield,turnout,"Electorate: 14,303. Turnout: 33%"
Ecclesall,candidate,Roan James,Trade Unionist and Socialist Coalition,108
Ecclesall,candidate,John Lowcock,UK Independence Party (UKIP),514
Ecclesall,candidate,Daniel Johnson,The Conservative Party,574
Ecclesall,candidate,John Chapman,The Conservative Party,720
Ecclesall,candidate,Roger Barnsley,The Conservative Party,791
Ecclesall,candidate,Jason Leman,Green Party,821
Ecclesall,candidate,Emily Forster,Green Party,1171
Ecclesall,candidate,Stewart Kemp,Green Party,1517
Ecclesall,candidate,Christopher Olewicz,Labour Party,1794
Ecclesall,candidate,Kevan Rushton,Labour Party,1849
Ecclesall,candidate,Alison Freeman,Labour Party,2369
Ecclesall,candidate,Shaffaq Mohammed,Liberal Democrats,2787
Ecclesall,candidate,Paul Scriven,Liberal Democrats,3164
Ecclesall,candidate,Roger Davison,Liberal Democrats,3439
Ecclesall,elected,"Elected: Roger Davison, Shaffaq Mohammed and Paul Scriven, Liberal Democrats."
Ecclesall,turnout,"Electorate: 15,780. Turnout: 49%"
Firth Park,candidate,Clare Green,Liberal Democrats,190
Firth Park,candidate,June Ledbury,The Conservative Party,198
Firth Park,candidate,Jack Weston,Liberal Democrats,229
Firth Park,candidate,George Ledbury,The Conservative Party,239
Firth Park,candidate,Chris Pyke,Green Party,246
Firth Park,candidate,Fiona Clayton,Liberal Democrats,269
Firth Park,candidate,Judith Burkinshaw,The Conservative Party,302
Firth Park,candidate,Sara-Jayne Hill,Green Party,305
Firth Park,candidate,Amy Mack,Green Party,443
Firth Park,candidate,Muzafar Rahman,UK Independence Party (UKIP),577
Firth Park,candidate,Ishleen Oberoi,UK Independence Party (UKIP),622
Firth Park,candidate,Anis Abdullah,UK Independence Party (UKIP),752
Firth Park,candidate,Abtisam Mohamed,Labour Party,1844
Firth Park,candidate,Abdul Khayum,Labour Party,1916
Firth Park,candidate,Alan Law,Labour Party,2424
Firth Park,elected,"Elected: Abdul Khayum, Alan Law and Abtisam Mohamed, Labour Party."
Firth Park,turnout,"Electorate: 14,250. Turnout: 29%"
Fulwood,candidate,Chris McAndrew,Trade Unionist and Socialist Coalition,65
Fulwood,candidate,Granville Dronfield,UK Independence Party (UKIP),384
Fulwood,candidate,Philippa Bartlett,The Conservative Party,528
Fulwood,candidate,Bev Cross,Green Party,531
Fulwood,candidate,Tom Williams,The Conservative Party,578
Fulwood,candidate,Pat Barnsley,The Conservative Party,642
Fulwood,candidate,Jon Ashe,Green Party,691
Fulwood,candidate,Judith Rutnam,Green Party,711
Fulwood,candidate,Abbas Shah,Labour Party,1033
Fulwood,candidate,Hafeas Rehman,Labour Party,1121
Fulwood,candidate,Lizzie Ellen,Labour Party,1390
Fulwood,candidate,Cliff Woodcraft,Liberal Democrats,3063
Fulwood,candidate,Andrew Sangar,Liberal Democrats,3112
Fulwood,candidate,Sue Alston,Liberal Democrats,3388
Fulwood,elected,"Elected: Sue Alston, Andrew Sangar and Cliff Woodcraft, Liberal Democrats."
Fulwood,turnout,"Electorate: 14,059. Turnout: 43%"
Gleadless Valley,candidate,Elizabeth Morton,Trade Unionist and Socialist Coalition,257
Gleadless Valley,candidate,James Clark,The Conservative Party,350
Gleadless Valley,candidate,Philip Shaddock,Liberal Democrats,507
Gleadless Valley,candidate,John Dryden,Liberal Democrats,523
Gleadless Valley,candidate,Simon Clement-Jones,Liberal Democrats,591
Gleadless Valley,candidate,Ben Manovitch,Green Party,665
Gleadless Valley,candidate,Mitchell Seymour,UK Independence Party (UKIP),697
Gleadless Valley,candidate,Clare Jones,Green Party,865
Gleadless Valley,candidate,Jo Eckersley,Green Party,1074
Gleadless Valley,candidate,Cate McDonald,Labour Party,2235
Gleadless Valley,candidate,Chris Peace,Labour Party,2347
Gleadless Valley,candidate,Lewis Dagnall,Labour Party,2348
Gleadless Valley,elected,"Elected: Lewis Dagnall, Cate McDonald and Chris Peace, Labour Party."
Gleadless Valley,turnout,"Electorate: 13,822. Turnout: 30%"
Graves Park,candidate,Keith Endean,Trade Unionist and Socialist Coalition,235
Graves Park,candidate,Soo Vinnicombe,Green Party,343
Graves Park,candidate,Bongai Funhanda,Green Party,391
Graves Park,candidate,Trevor Grant,The Conservative Party,448
Graves Park,candidate,David Hayes,Green Party,684
Graves Park,candidate,Steven Sturgeon,Labour Party,1153
Graves Park,candidate,Andy Belfield,Labour Party,1520
Graves Park,candidate,Mary Bishop,Labour Party,1730
Graves Park,candidate,Steve Ayris,Liberal Democrats,2374
