Beauchief & Greenhill
"Julie Gledhill, Labour Party: 1,818"
"Catherine Hartley, Green Party: 393"
"Paul Horada-Bradnum, Green Party: 318"
"John Kirby, Labour Party: 1,478"
"Peter Morris, The Conservative Party: 255"
"Roy Munn, Labour Party: 1,771"
"Terry Murphy, Trade Unionist and Socialist Coalition: 124"
"Andy Nash, Liberal Democrats:  2,300"
"Bob Pullin, Liberal Democrats:  2,369"
"John Scotting, The Conservative Party:  268"
"Richard Shaw, Liberal Democrats:  2,322"
"Jean Simpson, UK Independence Party (UKIP): 673"
"Andy Taylor, The Conservative Party:  344"
"Andrew Telford, UK Independence Party (UKIP): 688"
"Rita Wilcock, Green Party:  284"
"Elected: Andy Nash, Bob Pullin and Richard Shaw, Liberal Democrats."
"Electorate: 14,399. Turnout: 39%"
Beighton
"Shirley Clayton, The Conservative Party: 777"
"Brett Colk, UK Independence Party (UKIP): 1,154"
"Margaret Gray, Trade Unionist and Socialist Coalition: 141"
"Richard Madden, Green Party:  239"
"Helen Mirfin-Boukouris, Labour Party: 1,962"
"Clare Relton, Green Party:  239"
"Chris Rosling-Josephs, Labour Party: 1,704"
"Richard Sangar, Liberal Democrats: 249"
"Ian Saunders, Labour Party: 1,947"
"Kiri Smith, Green Party: 151"
"Sophie Thornton, Liberal Democrats: 253"
"Allan Wisbey, Liberal Democrats: 209"
"Elected: Helen Mirfin-Boukouris, Chris Rosling-Josephs and Ian Saunders, Labour Party."
"Electorate: 13,884. Turnout: 28%"
Birley
"Jane Chapman, Liberal Democrats: 325"
"Bradley Colk, UK Independence Party (UKIP): 960"
"Andrew Dixon, Liberal Democrats:  281"
"Denise Fox, Labour Party: 1,861"
"Calum Heaton, The Conservative Party: 387"
"Dennis Hobson, UK Independence Party (UKIP): 931"
"Bryan Lodge, Labour Party: 1,912"
"Karen McGowan, Labour Party: 1,719"
"Anthony Naylor, Green Party: 310"
"Ruth Nicol, Green Party: 245"
"John Voyse, Trade Unionist and Socialist Coalition: 83"
"Hilda Wisbey, Liberal Democrats: 184"
"Alan Yearsley, Green Party: 231"
"Elected: Denise Fox, Bryan Lodge and Karen McGowan, Labour Party."
"Electorate: 12,959. Turnout: 29%"
Broomhill & Sharrow Vale
"Toby Abbs, The Conservative Party: 344"
"Saleh Alnoud, Labour Party: 1,771"
"Michelle Cook, Labour Party: 1,956"
"Kurtis Crossland, Liberal Democrats: 459"
"Bridget Gilbert, Trade Unionist and Socialist Coalition: 120"
"Michael Lawrence, The Conservative Party: 276"
"Chris Hallam, The Conservative Party: 356"
"Kieran Harpham, Labour Party: 1,860"
"Magid Mah, Green Party: 1,882"
"Aodan Marken, Green Party: 1,734"
"Barbara Masters, Liberal Democrats: 587"
"Iain Prest, Liberal Democrats: 522"
"Pat Sullivan, UK Independence Party (UKIP): 213"
"Brian Webster, Green Party: 1,657"
"Elected: Michelle Cook and Kieran Harpham, Labour Party, and Magid Mah, Green Party."
"Electorate: 15,000. Turnout: 32%"
Burngreave
"Mobeen Arshad, Green Party: 506"
"Ashish Bhandari, UK Independence Party (UKIP): 539"
"Shelley Cockayne, Liberal Democrats:  324"
"Russell Cutts, The Conservative Party: 284"
"Jackie Drayton, Labour Party: 3,483"
"Iltaf Hussain, Liberal Democrats: 441"
"Talib Hussain, Labour Party: 3,228"
"Mubarak Ismail, Liberal Democrats: 377"
"Mark Jones, Labour Party: 2,784"
"Timothy Marsh, The Conservative Party: 198"
"Chris Sissons, Green Party: 399"
"Alexander Taylor, The Conservative Party: 181"
"Stephanie Windle, Green Party: 417"
"Elected: Jackie Drayton, Talib Hussain and Mark Jones, Labour Party."
"Electorate: 14,085. Turnout: 37%"
City
"David Chapman, Liberal Democrats: 116"
"Anders Hanson, Liberal Democrats: 147"
"Amar Ilyas, Labour Party: 547"
"Douglas Johnson, Green Party: 708"
"Raymond Lawrence, The Conservative Party: 107"
"Sam Morecroft, Trade Unionist and Socialist Coalition: 47"
"Robert Murphy, Green Party:  626"
"Moya O'Rourke, Labour Party: 617"
"Gareth Slater, Labour Party: 581"
